题目名,提交次数,相邻提交分数相同次数,提交用户数,未满分用户数,分数为0用户数,分数,平均分,分数中位数,平均提交次数,提交次数中位数,平均相邻提交分数相同次数,相邻提交分数相同次数中位数
甲苯先生和大中锋的字符串,"[16, 2, 1, 2, 1, 2, 1, 10, 1, 1, 1, 3, 4, 1, 1, 1, 8, 4, 1, 6, 2, 2, 1, 14, 12, 6, 7, 7, 24, 1, 2, 1, 22, 2, 2, 1, 5, 1, 1]","[11, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 3, 0, 0, 0, 2, 2, 0, 3, 0, 1, 0, 6, 4, 0, 4, 3, 16, 0, 1, 0, 11, 0, 1, 0, 3, 0, 0]",39,7,1,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 83.33, 83.33, 83.33, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 83.33, 100, 100, 100, 83.33, 0, 33.33, 100]",93.58923076923075,100.0,4.615384615384615,2.0,1.9743589743589745,0.0
Array Poisonous Suffix Problem,"[1, 1, 5, 1, 13, 1, 1, 1, 1, 1, 1, 22, 2, 1, 1, 18, 1, 5, 13, 1, 1, 7, 24, 1, 1, 1, 1, 17, 1, 1, 1, 4, 1, 1]","[0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 8, 0, 2, 3, 0, 0, 4, 13, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0]",34,3,1,"[100, 100, 90, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 10, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",94.11764705882354,100.0,4.5,1.0,1.5588235294117647,0.0
梦中的统计,"[15, 1, 3, 2, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 10, 2, 1, 1, 11, 1, 1, 2, 7, 1, 6, 20, 8, 7, 8, 4, 1, 1, 1, 9, 1, 2, 1, 1, 1, 1, 1]","[9, 0, 2, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 4, 0, 0, 1, 1, 0, 3, 12, 3, 6, 3, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0]",42,2,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 83.33, 100, 83.33, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",99.20619047619047,100.0,3.619047619047619,1.0,1.5238095238095237,0.0
字串覆盖,"[17, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 3, 1, 3, 3, 1, 1, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[15, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 0, 2, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]",34,1,1,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",97.05882352941177,100.0,2.0294117647058822,1.0,0.8823529411764706,0.0
猫咪,"[51, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 5, 1, 12, 1, 2, 11, 4, 6, 1, 2, 1, 1, 36, 1, 1, 2, 8, 1, 1]","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 1, 0, 2, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0]",33,2,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 20, 100, 100, 100, 100, 100, 100, 20, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",95.15151515151516,100.0,4.96969696969697,1.0,0.7575757575757576,0.0
求字符串所有后缀贡献最大值,"[39, 1, 1, 3, 1, 15, 1, 1, 1, 1, 2, 1, 4, 1, 2, 2, 1, 2, 1, 1, 6, 1, 2, 10, 19, 2, 3, 2, 1, 1, 1, 6, 1, 2, 1, 1, 1, 1]","[37, 0, 0, 3, 0, 6, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 5, 9, 1, 2, 0, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0]",38,10,8,"[0, 100, 100, 0, 100, 100, 100, 100, 100, 20, 100, 100, 100, 100, 0, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 80, 100, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100]",76.3157894736842,100.0,3.736842105263158,1.0,2.026315789473684,0.0
区分所有子字符串的最小更改,"[5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 5, 1, 1, 1, 1, 1, 2, 1, 5, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",37,0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",100.0,100.0,1.4324324324324325,1.0,0.40540540540540543,0.0
根据字符出现频率排序,"[2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 4, 1, 2, 2, 1, 1, 3, 2, 1, 1, 1, 1, 3, 1, 1, 6, 2, 2, 4, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 2, 0, 0, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0]",87,0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",100.0,100.0,1.4367816091954022,1.0,0.367816091954023,0.0
honoka的键盘,"[4, 1, 2, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 5, 1, 1, 1, 3, 1, 4, 8, 1, 1, 13, 8, 4, 5, 2, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1]","[3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 1, 2, 0, 0, 5, 4, 2, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",41,0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",100.0,100.0,2.317073170731707,1.0,0.7073170731707317,0.0
自定义字符串排序,"[7, 1, 3, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 14, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 2, 1, 13, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 5, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[4, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 13, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 12, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",87,0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",100.0,100.0,1.6781609195402298,1.0,0.5862068965517241,0.0
